sim_time_s,q1,q2,q3,q4,q5,q6,qd1,qd2,qd3,qd4,qd5,qd6,qdd1,qdd2,qdd3,qdd4,qdd5,qdd6,tau1,tau2,tau3,tau4,tau5,tau6
0.720000034,0.083484977,-1.465225577,0.015789313,-1.529476523,0.019173056,-0.000631837,0.257316985,0.381532618,0.085179738,0.156162953,0.036345041,-0.218343779,0.176642127,1.049246392,0.589998851,0.49982383,-0.303578388,-0.282741787,-2.364326715,10.82593727,3.19178319,0.527186811,-0.159722686,-0.229933232
0.740000035,0.088803142,-1.457218528,0.017484767,-1.526192069,0.019810289,-0.005058177,0.26081519,0.402367492,0.096532269,0.164736889,0.030443483,-0.222586251,0.181126654,1.020216989,0.533624319,0.434823456,-0.273698456,-0.150343192,-2.034991741,8.537197113,2.084199905,0.384294927,-0.010987453,-0.203116208
0.760000036,0.094191641,-1.44880712,0.019386156,-1.522720695,0.020343512,-0.009538626,0.264527935,0.422393712,0.106556421,0.172995734,0.025219574,-0.224359924,0.195064251,0.976026487,0.457815707,0.37879007,-0.232847071,-0.031877402,-1.609618664,5.73646307,0.731638491,0.206668258,0.1686216,-0.17986618
0.780000037,0.099657625,-1.440002799,0.02146141,-1.519081473,0.020786375,-0.014027512,0.268629834,0.441341452,0.11489093,0.180942306,0.020902249,-0.223966826,0.217179479,0.918853462,0.366334433,0.335339299,-0.183148548,0.068894999,-1.103978515,2.490077019,-0.823899508,0.001873851,0.374732912,-0.160877019
0.800000038,0.105209202,-1.430832267,0.023673577,-1.515266776,0.021157056,-0.018485986,0.273262128,0.458999229,0.121256317,0.188522195,0.017671221,-0.221771592,0.245801836,0.851546924,0.263439435,0.304240407,-0.12692195,0.148991105,-0.534400403,-1.106097698,-2.537266731,-0.230152041,0.60179013,-0.146706492
0.820000039,0.110857815,-1.421326041,0.025982125,-1.511303306,0.021476775,-0.022882484,0.278527881,0.475219303,0.125464282,0.195638239,0.015649651,-0.218191342,0.278975116,0.777399743,0.153687825,0.282533272,-0.066670766,0.206196478,0.080605447,-4.919061661,-4.360738754,-0.478881061,0.843666375,-0.137791604
0.84000004,0.116616577,-1.411518455,0.028340919,-1.507202506,0.021769673,-0.027194522,0.284489409,0.489919116,0.127422284,0.20217504,0.014899477,-0.213684918,0.314580563,0.699895238,0.041728124,0.265934865,-0.005043819,0.239028719,0.718713999,-8.86138916,-6.236619473,-0.734912872,1.093487859,-0.134392604
0.860000041,0.122500271,-1.40143621,0.030702932,-1.502987266,0.022062629,-0.031409308,0.291167732,0.503079395,0.127133209,0.208026148,0.01541973,-0.208741137,0.350461011,0.62245954,-0.067906386,0.250190337,0.055241423,0.246695116,1.360170841,-12.81155109,-8.112747192,-0.99083662,1.3438375,-0.136610568
0.880000042,0.128522292,-1.391109824,0.033023853,-1.498669028,0.022382945,-0.035524294,0.298543795,0.514739584,0.124690332,0.21311756,0.017148118,-0.203865881,0.38453529,0.548245872,-0.170995355,0.232109184,0.111511007,0.229058486,1.98703146,-16.68283081,-9.942265511,-1.243279696,1.587473035,-0.144373432
0.900000043,0.134695902,-1.380562186,0.035263557,-1.494263053,0.022755772,-0.039547488,0.306561131,0.524991267,0.120268145,0.217423319,0.01996594,-0.199568065,0.414895406,0.479967602,-0.263810641,0.210144948,0.161270863,0.186616714,2.581420183,-20.39680099,-11.68458462,-1.483006477,1.818240166,-0.157455802
0.920000044,0.141033068,-1.369827628,0.03738739,-1.489792228,0.023202091,-0.043497249,0.315129712,0.533970089,0.114109821,0.220971421,0.023706127,-0.196344776,0.439882674,0.419787073,-0.34326806,0.184497412,0.202350366,0.120493492,3.128188133,-23.87827301,-13.30690575,-1.702093363,2.031248093,-0.175469548
0.940000045,0.147541896,-1.358917594,0.039365429,-1.485271811,0.023737639,-0.047401592,0.324130721,0.541846597,0.106512231,0.223840528,0.028163839,-0.194666114,0.458142233,0.369258607,-0.407043817,0.156815107,0.233034295,0.032431985,3.616939545,-27.07020187,-14.78361511,-1.898764491,2.22308898,-0.197883874
0.960000046,0.15423049,-1.347862601,0.041175265,-1.480682731,0.024371952,-0.051298067,0.33342205,0.548816335,0.097809445,0.226149562,0.033108742,-0.194960411,0.468657723,0.329317965,-0.453649974,0.129638532,0.252166341,-0.075219584,4.036623001,-29.93865013,-16.09811592,-2.08027792,2.392073393,-0.224055737
0.980000047,0.161103621,-1.336685538,0.042797703,-1.476051688,0.025108129,-0.055230662,0.34284438,0.555089509,0.088355552,0.228043066,0.038297974,-0.197600535,0.470769167,0.300307359,-0.482466052,0.105746308,0.259212027,-0.199541131,4.379953861,-32.41657257,-17.2359066,-2.236706734,2.537990332,-0.253275782
1.000000048,0.168161288,-1.32538259,0.044219393,-1.471382499,0.025946409,-0.05925028,0.352227687,0.560880578,0.078507575,0.229675281,0.043488801,-0.20289199,0.464177254,0.282024647,-0.493726748,0.087552166,0.254275102,-0.337100513,4.645362377,-34.56371689,-18.19305801,-2.367305756,2.660873413,-0.284736723
1.020000049,0.175400153,-1.313965201,0.045437831,-1.466675162,0.02688387,-0.063413069,0.361398054,0.566398129,0.068609132,0.231195371,0.048450208,-0.211063362,0.448936627,0.273786911,-0.488468504,0.076660672,0.238067829,-0.484043368,4.834421635,-36.37624741,-18.98122406,-2.474932671,2.761554003,-0.317573607
1.04000005,0.182815447,-1.302441001,0.046456236,-1.461941123,0.027914256,-0.067777798,0.370184602,0.571835438,0.058975469,0.232735504,0.052972918,-0.222259572,0.425439739,0.27450135,-0.468440044,0.073637305,0.211841011,-0.636211519,4.950710773,-37.87467194,-19.61556053,-2.558286667,2.841820955,-0.350919515
1.06000005,0.190395728,-1.29080236,0.047282834,-1.457176566,0.029028326,-0.072406933,0.378426303,0.577362075,0.049880445,0.234402623,0.056877588,-0.236538168,0.394391832,0.282739349,-0.435983729,0.077996619,0.177283351,-0.789284084,5.002349854,-39.13097382,-20.11874199,-2.62053299,2.904057026,-0.383872509
1.080000051,0.19812955,-1.279049277,0.04793312,-1.452370048,0.030213565,-0.077362224,0.385978426,0.583116865,0.041545977,0.236274021,0.060021118,-0.253868755,0.356776907,0.296812107,-0.393895668,0.08837065,0.13640155,-0.938932288,4.999219418,-40.18641663,-20.52189255,-2.672060728,2.951659203,-0.415574521
1.100000052,0.206001177,-1.267174125,0.048425097,-1.447510123,0.031453378,-0.082702801,0.392718282,0.589202493,0.034134372,0.238396253,0.062301048,-0.274135482,0.31381436,0.314847714,-0.345272972,0.102794215,0.091392563,-1.080977388,4.952506065,-41.10448456,-20.8552494,-2.717209101,2.989071608,-0.445260912
1.120000053,0.213993445,-1.255173087,0.048779506,-1.442612052,0.032728322,-0.088485405,0.398549981,0.595681908,0.027743801,0.240786574,0.063658038,-0.297142358,0.266906387,0.334870112,-0.293356369,0.119035584,0.04451801,-1.211541193,4.876215935,-41.96572876,-21.1554184,-2.753158808,3.02117157,-0.472214848
1.140000054,0.222087279,-1.24303472,0.04901566,-1.43765676,0.034018286,-0.094759628,0.403407908,0.60257665,0.022406993,0.243435968,0.064076409,-0.322621084,0.217577043,0.354879942,-0.241375789,0.134907992,-0.002011496,-1.327180013,4.782497883,-42.83462524,-21.44904518,-2.790976524,3.05273819,-0.495850623
1.160000055,0.230263129,-1.230751395,0.049153466,-1.432648063,0.035304196,-0.101572201,0.40725872,0.609867134,0.018093027,0.246312954,0.063582741,-0.350240978,0.167404973,0.37293625,-0.192405568,0.148514833,-0.046136896,-1.424995188,4.686520576,-43.7822113,-21.77105904,-2.830064774,3.087901354,-0.515642107
1.180000056,0.238500491,-1.218315482,0.049214143,-1.427582145,0.03656853,-0.108960554,0.41010174,0.617494807,0.014711951,0.249367581,0.062242615,-0.379620561,0.117952843,0.387236789,-0.149234808,0.158403543,-0.086033298,-1.502715988,4.600719929,-44.87078857,-22.15371704,-2.877285957,3.130543232,-0.531216085
1.200000057,0.246778861,-1.205719352,0.049215216,-1.422459006,0.037796266,-0.116954491,0.411967747,0.625366047,0.012121797,0.252535301,0.060155692,-0.410340336,0.070697347,0.396193531,-0.114257198,0.163624941,-0.120173727,-1.558753317,4.537513733,-46.16145325,-22.62278557,-2.933532476,3.183703661,-0.542326927
1.220000058,0.255079657,-1.192970634,0.049170274,-1.417259574,0.038973697,-0.125575706,0.412916277,0.633357572,0.010137525,0.255740638,0.057449445,-0.441956306,0.026964008,0.398499367,-0.089383486,0.163711992,-0.14737439,-1.592224786,4.507452965,-47.65666199,-23.19686317,-3.010744095,3.250204802,-0.548863471
1.240000059,0.26338616,-1.180057883,0.049085755,-1.411987662,0.040089972,-0.134835884,0.413031633,0.64132305,0.008541363,0.258900673,0.054271932,-0.474013772,-0.012129126,0.393181859,-0.075978671,0.15860264,-0.166822575,-1.602953343,4.516178608,-49.43458557,-23.88622284,-3.105678797,3.332033396,-0.550878823
1.26000006,0.271683127,-1.16698873,0.048967499,-1.406673789,0.041138299,-0.144737408,0.412417924,0.649100579,0.00709403,0.261928425,0.050784062,-0.506060986,-0.045715446,0.37964049,-0.07482509,0.148534814,-0.178088501,-1.591442513,4.568986416,-51.48351288,-24.70302963,-3.209269285,3.429849863,-0.548514366
1.280000061,0.279957205,-1.15376699,0.048814315,-1.401287436,0.042115577,-0.155274555,0.41119344,0.65652062,0.005546384,0.264736153,0.047151761,-0.537662258,-0.073208987,0.357664872,-0.086111703,0.133939206,-0.18112241,-1.558831676,4.669198513,-53.81955719,-25.6465416,-3.336643457,3.543598175,-0.542042375
1.300000062,0.288198858,-1.140396476,0.048622627,-1.395855308,0.043021448,-0.166433498,0.409484733,0.663413971,0.003651027,0.26723857,0.043538398,-0.568410134,-0.094317735,0.327432812,-0.109449109,0.115348706,-0.176237983,-1.506834697,4.815817833,-56.44604492,-26.717556,-3.478462219,3.672679663,-0.531850278
1.320000063,0.296400458,-1.126900077,0.048385162,-1.390369773,0.043857701,-0.178192303,0.407420716,0.669619384,0.001173476,0.269355922,0.040097742,-0.597936321,-0.109041184,0.289488592,-0.143909041,0.093334862,-0.16408305,-1.437664979,5.006355286,-59.31793213,-27.90791321,-3.639166117,3.816034555,-0.518403888
1.340000064,0.304555327,-1.113289237,0.048086423,-1.384846091,0.044628628,-0.190521881,0.405127059,0.674990442,-0.00209755,0.271016798,0.036967665,-0.625921064,-0.117653507,0.244703309,-0.188086313,0.068473348,-0.145598547,-1.353949603,5.235580444,-62.40736389,-29.19918251,-3.813337088,3.971970081,-0.502271175
1.360000065,0.312662512,-1.09958303,0.047706384,-1.379295707,0.045340903,-0.203387901,0.402721121,0.679401418,-0.006341144,0.272160556,0.034264743,-0.652100716,-0.120674587,0.19422025,-0.240180296,0.041333877,-0.121966893,-1.258635034,5.494675636,-65.68841553,-30.56748009,-3.998125076,4.138077259,-0.484048277
1.380000066,0.320718199,-1.085796714,0.047224421,-1.373726249,0.04600466,-0.216752693,0.400307574,0.682751889,-0.011696942,0.272739239,0.032079912,-0.676273335,-0.118831759,0.139389107,-0.298092159,0.012485953,-0.09455138,-1.154886728,5.776907921,-69.11058807,-31.99440575,-4.193287373,4.311227322,-0.46435684
1.400000067,0.328726202,-1.071964622,0.046617527,-1.368149161,0.046630986,-0.230573341,0.397974828,0.68496998,-0.01825993,0.272718891,0.030475337,-0.698302152,-0.113015323,0.081693274,-0.359533265,-0.017489383,-0.064828717,-1.045985072,6.070596218,-72.59281158,-33.45403671,-4.392693996,4.488204479,-0.443881571
1.420000068,0.336688429,-1.058102012,0.045858998,-1.362591147,0.047232039,-0.244805023,0.395792347,0.686014171,-0.026077568,0.272080258,0.029482652,-0.718116877,-0.104230804,0.022674472,-0.422139426,-0.047990618,-0.034317472,-0.935220276,6.364826202,-76.11636353,-34.91576004,-4.589718342,4.665511131,-0.423261344
1.440000069,0.344605833,-1.044224143,0.044925828,-1.357052207,0.047821529,-0.259404838,0.393808848,0.685873662,-0.035149338,0.27081892,0.029102678,-0.735712838,-0.093550603,-0.036141263,-0.483585284,-0.078395793,-0.004505683,-0.825789093,6.649323463,-79.63075256,-36.36316681,-4.784190655,4.839437962,-0.403087109
1.460000069,0.352486044,-1.030372977,0.043796081,-1.351543784,0.048411496,-0.274327934,0.392051416,0.684567369,-0.045428687,0.268944907,0.029306674,-0.751148055,-0.082067224,-0.093312705,-0.541692994,-0.108074275,0.023218719,-0.720696435,6.911558628,-83.02185059,-37.77090073,-4.97633791,5.007181168,-0.383959353
