time,q1,q2,q3,q4,q5,q6,q1d,q2d,q3d,q4d,q5d,q6d,q1d2,q2d2,q3d2,q4d2,q5d2,q6d2
0.52,0.0308826718425763,-1.53016575763695,0.00825851786974319,-1.5552920586852,0.00739897266690548,-0.00238700352617371,0.160169103994525,0.213719561294131,0.0385124926573539,0.0834616353479234,0.0364811992739487,-0.0320340955040166,0.479205192063924,0.664324452714042,0.0795664133004406,0.27203294269023,0.0955766594683727,-0.248123038750196
0.53,0.0325083479045958,-1.5279952825276,0.00864758339346494,-1.55444380529883,0.0077685558830467,-0.00271992526014486,0.164968473183517,0.220381654712476,0.0392967873184453,0.0861925248115725,0.0374346569424615,-0.0345677541308973,0.480624095337597,0.668040964272411,0.07727157537092,0.274122667206128,0.0951044768043507,-0.258624627247931
0.54,0.0341820841584166,-1.52575800597719,0.00904437503337974,-1.55356814076168,0.0081476490332264,-0.0030787102250116,0.169780698812802,0.227079318421875,0.0400575076292817,0.0889436423192258,0.0383830833535974,-0.0372068953187039,0.481776873951728,0.671438830017106,0.074851777565058,0.27607848107789,0.0945706572305935,-0.269218397188905
0.55,0.0359039959018475,-1.52345358818306,0.00944865082153079,-1.55266486949573,0.00853619874796863,-0.00346441774013329,0.174603131544531,0.233809375611731,0.040793411059191,0.0917136467122717,0.0393258696162295,-0.0399524062968268,0.482665919024425,0.674519986924665,0.0723084373577879,0.277899979896339,0.0939766964087969,-0.279897434358528
0.56,0.0376741720597806,-1.52108172101297,0.00986015643588622,-1.55173380935417,0.0089341456436216,-0.00387811565180129,0.179433146232158,0.240568669064743,0.0415032693675457,0.0945011929690942,0.0402624217970979,-0.0428051052388199,0.483293677602016,0.677286416622888,0.0696429952458595,0.27958679551316,0.0933240901738763,-0.290654842054496
0.57,0.0394926754288747,-1.51864212780709,0.01027862534443,-1.55077479165819,0.00934142447206199,-0.00432087964343708,0.184268142476821,0.247354061601776,0.0421858688328811,0.0973049325688962,0.0411921609201915,-0.0457657414456989,0.483662652079735,0.679740145065463,0.0668569145186497,0.281138596263483,0.0926143340586609,-0.301483742778016
0.58,0.0413595429279781,-1.5161345631753,0.0107037789514841,-1.54978766123019,0.00975796427007936,-0.00479379254796442,0.189105545177892,0.254162436523497,0.0428400104795479,0.100123513857472,0.0421145229613336,-0.0488349955466063,0.483775399604651,0.681883242196048,0.063951681021794,0.282555087177035,0.0918489228206711,-0.312377279918957
0.59,0.0432747858534839,-1.51355881279032,0.0111353267462562,-1.54877227642321,0.0101836885090876,-0.00529794366217118,0.193942805077406,0.260990698048477,0.043464510302158,0.102955582415273,0.0430289588380894,-0.0520134797159599,0.483634531461035,0.68371782160191,0.0609288029136935,0.283836010177772,0.0910293499711439,-0.323328619434517
0.6,0.045238390140895,-1.51091469317619,0.0115729664536861,-1.54772850914681,0.0106185152441185,-0.00583442806325252,0.198777399298312,0.267835771747929,0.0440581994874343,0.105799781427205,0.0439349343949456,-0.0553017379076479,0.48324271243828,0.685246040157171,0.0577898104149502,0.284981144271935,0.0901571073064438,-0.334330951520921
0.61,0.0472503166309224,-1.50820205149272,0.0120163841874685,-1.54665624488911,0.0110623572634196,-0.00640434592789774,0.203606831876263,0.274694604976705,0.0446199246335084,0.108654752054413,0.0448319303838458,-0.0587002461055732,0.482602660181622,0.686470097655777,0.0545362555507852,0.285990305724456,0.0892336844419948,-0.345377492277693
